id,division,sub,BU,SSno,name,SSkv,owned,EHVname,switching,lat,lng,capacity,solarcap,plant,ptrans,feeder,outfeeder,infeeder,infeederss,img
119,JAYASINGPUR DIVISION,SHIROL,9148,144038,33/11 KV KAVATHE-GULAND,33/11 KV,Y,,N,16.6952172,74.6478931,10,0,,1,10,10,0,1,/assets/ss.png
120,JAYASINGPUR DIVISION,SHIROL,9148,144037,33/11 KV SHIRATI,33/11 KV,Y,,N,16.7429767,74.6441515,15,0,,,8,8,0,1,/assets/ss.png
121,JAYASINGPUR DIVISION,SHIROL,9148,144090,33 / 11 KV NANDANI SUBSTATION,33/11 KV,Y,,N,16.7398301,74.5342779,10,0,,,6,6,0,2,/assets/ss.png
122,JAYASINGPUR DIVISION,SHIROL,9148,144137,33/11 KV SHIROL ITI S/S,33/11 KV,Y,,N,16.7394752,74.5919505,1,0,3/15/2024,,5,5,0,0,/assets/ss.png
123,JAYASINGPUR DIVISION,JAYSINGPUR,1171,144042,33/11 KV KOTHALI,33/11 KV,Y,,N,16.8054443,74.5303166,25,,,3,9,9,0,1,/assets/ss.png
124,JAYASINGPUR DIVISION,JAYSINGPUR,1171,146005,110/33KV JSP,132/33 KV,N,Kolhapur,N,16.7688137,74.5330817,135,,,5,24,15,8,0,/assets/ss.png
125,JAYASINGPUR DIVISION,JAYSINGPUR,1171,144036,33/11KV SHIROL,33/11 KV,Y,,N,16.7674449,74.5669878,25,,,3,14,14,0,1,/assets/ss.png
126,JAYASINGPUR DIVISION,JAYSINGPUR,1171,144074,33/11 KV JAYSINGPUR,33/11 KV,Y,,N,16.7727381,74.5590472,10,,,2,6,6,0,1,/assets/ss.png
127,JAYASINGPUR DIVISION,JAYSINGPUR,1171,144128,33/11 KV 2 X 5 MVA DANOLI S/S,33/11 KV,Y,,N,16.8041075,74.4905568,10,,,2,4,4,0,1,/assets/ss.png
128,JAYASINGPUR DIVISION,JAYSINGPUR,1171,144123,33/11KV KONDIGRE,33/11 KV,Y,,N,16.7389614,74.519592,10,3,9/24/2024,2,13,7,6,1,/assets/ss.png
